source_video,output_image,relative_image,frame_index,time_seconds,source_fps,width,height,blur_score
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000330_t000011.01s.jpg,10 (wide angle)\5\5_f000330_t000011.01s.jpg,330,11.01,29.970,1920,486,2779.66
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000360_t000012.01s.jpg,10 (wide angle)\5\5_f000360_t000012.01s.jpg,360,12.01,29.970,1920,486,2740.84
videos nuevos\10 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\10 (wide angle)\5\5_f000390_t000013.01s.jpg,10 (wide angle)\5\5_f000390_t000013.01s.jpg,390,13.01,29.970,1920,486,2895.16
videos nuevos\9 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\1\1_f000000_t000000.00s.jpg,9 (wide angle)\1\1_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,3647.06
videos nuevos\9 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\1\1_f000300_t000010.01s.jpg,9 (wide angle)\1\1_f000300_t000010.01s.jpg,300,10.01,29.970,1920,486,1843.13
videos nuevos\9 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\1\1_f000330_t000011.01s.jpg,9 (wide angle)\1\1_f000330_t000011.01s.jpg,330,11.01,29.970,1920,486,1939.48
videos nuevos\9 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\1\1_f000420_t000014.01s.jpg,9 (wide angle)\1\1_f000420_t000014.01s.jpg,420,14.01,29.970,1920,486,1735.12
videos nuevos\9 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\1\1_f000450_t000015.02s.jpg,9 (wide angle)\1\1_f000450_t000015.02s.jpg,450,15.02,29.970,1920,486,2139.37
videos nuevos\9 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\1\1_f000480_t000016.02s.jpg,9 (wide angle)\1\1_f000480_t000016.02s.jpg,480,16.02,29.970,1920,486,2528.71
videos nuevos\9 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\1\1_f000540_t000018.02s.jpg,9 (wide angle)\1\1_f000540_t000018.02s.jpg,540,18.02,29.970,1920,486,2389.85
videos nuevos\9 (wide angle)\1.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\1\1_f000600_t000020.02s.jpg,9 (wide angle)\1\1_f000600_t000020.02s.jpg,600,20.02,29.970,1920,486,2502.59
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000000_t000000.00s.jpg,9 (wide angle)\2\2_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,2522.32
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000090_t000003.00s.jpg,9 (wide angle)\2\2_f000090_t000003.00s.jpg,90,3.00,29.970,1920,486,2610.41
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000150_t000005.00s.jpg,9 (wide angle)\2\2_f000150_t000005.00s.jpg,150,5.00,29.970,1920,486,1995.46
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000180_t000006.01s.jpg,9 (wide angle)\2\2_f000180_t000006.01s.jpg,180,6.01,29.970,1920,486,2491.95
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000210_t000007.01s.jpg,9 (wide angle)\2\2_f000210_t000007.01s.jpg,210,7.01,29.970,1920,486,2642.17
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000240_t000008.01s.jpg,9 (wide angle)\2\2_f000240_t000008.01s.jpg,240,8.01,29.970,1920,486,2225.34
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000300_t000010.01s.jpg,9 (wide angle)\2\2_f000300_t000010.01s.jpg,300,10.01,29.970,1920,486,1968.15
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000330_t000011.01s.jpg,9 (wide angle)\2\2_f000330_t000011.01s.jpg,330,11.01,29.970,1920,486,2126.06
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000360_t000012.01s.jpg,9 (wide angle)\2\2_f000360_t000012.01s.jpg,360,12.01,29.970,1920,486,2601.34
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000450_t000015.02s.jpg,9 (wide angle)\2\2_f000450_t000015.02s.jpg,450,15.02,29.970,1920,486,2361.72
videos nuevos\9 (wide angle)\2.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\2\2_f000600_t000020.02s.jpg,9 (wide angle)\2\2_f000600_t000020.02s.jpg,600,20.02,29.970,1920,486,2802.40
videos nuevos\9 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\3\3_f000000_t000000.00s.jpg,9 (wide angle)\3\3_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,2702.24
videos nuevos\9 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\3\3_f000180_t000006.01s.jpg,9 (wide angle)\3\3_f000180_t000006.01s.jpg,180,6.01,29.970,1920,486,2798.32
videos nuevos\9 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\3\3_f000360_t000012.01s.jpg,9 (wide angle)\3\3_f000360_t000012.01s.jpg,360,12.01,29.970,1920,486,2087.93
videos nuevos\9 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\3\3_f000390_t000013.01s.jpg,9 (wide angle)\3\3_f000390_t000013.01s.jpg,390,13.01,29.970,1920,486,1972.91
videos nuevos\9 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\3\3_f000510_t000017.02s.jpg,9 (wide angle)\3\3_f000510_t000017.02s.jpg,510,17.02,29.970,1920,486,2081.40
videos nuevos\9 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\3\3_f000540_t000018.02s.jpg,9 (wide angle)\3\3_f000540_t000018.02s.jpg,540,18.02,29.970,1920,486,2171.20
videos nuevos\9 (wide angle)\3.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\3\3_f000570_t000019.02s.jpg,9 (wide angle)\3\3_f000570_t000019.02s.jpg,570,19.02,29.970,1920,486,2060.21
videos nuevos\9 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\4\4_f000000_t000000.00s.jpg,9 (wide angle)\4\4_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,1017.87
videos nuevos\9 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\4\4_f000030_t000001.00s.jpg,9 (wide angle)\4\4_f000030_t000001.00s.jpg,30,1.00,29.970,1920,486,881.10
videos nuevos\9 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\4\4_f000060_t000002.00s.jpg,9 (wide angle)\4\4_f000060_t000002.00s.jpg,60,2.00,29.970,1920,486,1367.90
videos nuevos\9 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\4\4_f000090_t000003.00s.jpg,9 (wide angle)\4\4_f000090_t000003.00s.jpg,90,3.00,29.970,1920,486,904.69
videos nuevos\9 (wide angle)\4.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\4\4_f000120_t000004.00s.jpg,9 (wide angle)\4\4_f000120_t000004.00s.jpg,120,4.00,29.970,1920,486,1187.86
videos nuevos\9 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\5\5_f000000_t000000.00s.jpg,9 (wide angle)\5\5_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,1138.65
videos nuevos\9 (wide angle)\5.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\5\5_f000180_t000006.01s.jpg,9 (wide angle)\5\5_f000180_t000006.01s.jpg,180,6.01,29.970,1920,486,1104.63
videos nuevos\9 (wide angle)\6.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\6\6_f000000_t000000.00s.jpg,9 (wide angle)\6\6_f000000_t000000.00s.jpg,0,0.00,29.970,1920,486,2884.00
videos nuevos\9 (wide angle)\6.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\6\6_f000090_t000003.00s.jpg,9 (wide angle)\6\6_f000090_t000003.00s.jpg,90,3.00,29.970,1920,486,2144.89
videos nuevos\9 (wide angle)\6.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\6\6_f000120_t000004.00s.jpg,9 (wide angle)\6\6_f000120_t000004.00s.jpg,120,4.00,29.970,1920,486,2713.62
videos nuevos\9 (wide angle)\6.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\6\6_f000330_t000011.01s.jpg,9 (wide angle)\6\6_f000330_t000011.01s.jpg,330,11.01,29.970,1920,486,3186.90
videos nuevos\9 (wide angle)\6.mp4,smoke_dataset\data\frames_horizon_batch_02\9 (wide angle)\6\6_f000540_t000018.02s.jpg,9 (wide angle)\6\6_f000540_t000018.02s.jpg,540,18.02,29.970,1920,486,3203.39
