source_video,output_image,relative_image,frame_index,time_seconds,source_fps,width,height,blur_score
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008820_t000294.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008820_t000294.00s.jpg,8820,294.00,30.000,1280,1024,2407.59
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008940_t000298.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008940_t000298.00s.jpg,8940,298.00,30.000,1280,1024,668.76
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009000_t000300.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009000_t000300.00s.jpg,9000,300.00,30.000,1280,1024,1051.56
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009060_t000302.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009060_t000302.00s.jpg,9060,302.00,30.000,1280,1024,932.29
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009120_t000304.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009120_t000304.00s.jpg,9120,304.00,30.000,1280,1024,690.00
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009180_t000306.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009180_t000306.00s.jpg,9180,306.00,30.000,1280,1024,720.72
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009240_t000308.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009240_t000308.00s.jpg,9240,308.00,30.000,1280,1024,783.40
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009300_t000310.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009300_t000310.00s.jpg,9300,310.00,30.000,1280,1024,3730.94
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009360_t000312.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009360_t000312.00s.jpg,9360,312.00,30.000,1280,1024,3842.57
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009420_t000314.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009420_t000314.00s.jpg,9420,314.00,30.000,1280,1024,4275.67
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009480_t000316.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009480_t000316.00s.jpg,9480,316.00,30.000,1280,1024,681.16
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009540_t000318.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009540_t000318.00s.jpg,9540,318.00,30.000,1280,1024,671.53
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009600_t000320.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009600_t000320.00s.jpg,9600,320.00,30.000,1280,1024,679.35
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009720_t000324.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009720_t000324.00s.jpg,9720,324.00,30.000,1280,1024,679.25
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009960_t000332.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f009960_t000332.00s.jpg,9960,332.00,30.000,1280,1024,685.62
