epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,918.187,2.06603,2.19415,1.51025,1.01556,0,0.31948,0.33333,0.23513,0.07951,0.34687,0.33333,0.26092,0.0621,1.88677,1.85624,1.31981,0.76767,0,0.00112636,0.00112636,0.00112636
39,942.173,2.08896,2.2328,1.37143,1.05338,0,0.45838,0.31313,0.31567,0.10718,0.40995,0.44444,0.33277,0.09713,1.83448,1.80169,1.27844,0.75181,0,0.00108767,0.00108767,0.00108767
40,966.026,1.95753,2.21519,1.41591,1.02289,0,0.39432,0.37374,0.2914,0.11336,0.38663,0.36364,0.3109,0.11059,1.817,1.83217,1.25321,0.74181,0,0.00104887,0.00104887,0.00104887
41,990.232,2.08556,2.24218,1.43439,1.05712,0,0.44711,0.30303,0.3038,0.11457,0.53447,0.30154,0.2999,0.10457,1.8177,1.85434,1.30373,0.7445,0,0.00101,0.00101,0.00101
42,1014.13,2.22229,2.235,1.40872,1.07014,0,0.51093,0.30303,0.30807,0.10826,0.42368,0.29293,0.24699,0.07827,1.83646,1.80492,1.28083,0.74902,0,0.000971133,0.000971133,0.000971133
43,1038.19,1.96073,2.12037,1.35241,1.00576,0,0.46952,0.25253,0.25653,0.09533,0.54465,0.29293,0.2804,0.08074,1.84121,1.7782,1.42033,0.79189,0,0.000932325,0.000932325,0.000932325
44,1062.08,2.05808,2.16,1.41369,1.02046,0,0.45617,0.33333,0.31319,0.09904,0.49132,0.32323,0.34218,0.09599,1.8087,1.67689,1.24214,0.72523,0,0.000893638,0.000893638,0.000893638
45,1086.07,2.16347,2.41653,1.34026,1.09337,0,0.38205,0.34343,0.27143,0.10792,0.30732,0.36364,0.2718,0.06986,1.8197,1.70614,1.33502,0.72668,0,0.00085513,0.00085513,0.00085513
46,1110.2,2.15644,2.20104,1.41445,1.08211,0,0.31325,0.33333,0.20695,0.06525,0.26173,0.35354,0.17819,0.04436,1.90076,1.72519,1.46369,0.75731,0,0.000816861,0.000816861,0.000816861
47,1133.87,1.98493,2.1475,1.30742,1.00566,0,0.3487,0.35354,0.2722,0.08999,0.31022,0.37252,0.27378,0.07498,1.81629,1.72344,1.30246,0.75406,0,0.000778889,0.000778889,0.000778889
48,1158.2,2.10347,2.37911,1.38632,1.06602,0,0.4309,0.37476,0.32069,0.09745,0.39571,0.36381,0.31408,0.09309,1.77317,1.66538,1.1865,0.75332,0,0.000741274,0.000741274,0.000741274
49,1182.19,2.15608,2.34545,1.30295,1.04373,0,0.43817,0.34343,0.31835,0.10372,0.37152,0.37374,0.30885,0.08985,1.76551,1.63061,1.24681,0.75308,0,0.000704073,0.000704073,0.000704073
50,1205.97,1.95661,2.10854,1.33207,1.00424,0,0.49288,0.3338,0.31597,0.10853,0.44583,0.3007,0.28796,0.07843,1.77835,1.6952,1.23138,0.73835,0,0.000667344,0.000667344,0.000667344
51,1230.04,2.03474,2.2762,1.29153,1.03636,0,0.47211,0.31313,0.30847,0.11254,0.48093,0.34343,0.29465,0.09031,1.79545,1.62652,1.21326,0.73008,0,0.000631143,0.000631143,0.000631143
52,1253.83,1.92907,2.12118,1.26686,0.92812,0,0.53969,0.33333,0.34502,0.11619,0.36386,0.39394,0.3009,0.10094,1.78028,1.59527,1.21642,0.72871,0,0.000595527,0.000595527,0.000595527
53,1277.37,2.02692,2.01891,1.28154,1.01084,0,0.39108,0.33333,0.28767,0.10451,0.38845,0.37374,0.30573,0.0904,1.8044,1.65398,1.2784,0.73276,0,0.000560549,0.000560549,0.000560549
54,1301.07,1.8966,1.99958,1.28098,0.97472,0,0.4907,0.33333,0.31321,0.11238,0.44316,0.28283,0.26482,0.07391,1.80639,1.69633,1.24811,0.74648,0,0.000526265,0.000526265,0.000526265
55,1324.93,2.01731,2.18429,1.26924,1.05062,0,0.45223,0.36364,0.301,0.11121,0.39844,0.31313,0.24249,0.07361,1.80415,1.78998,1.24574,0.7679,0,0.000492726,0.000492726,0.000492726
56,1348.88,1.92605,2.07607,1.24774,1.00713,0,0.492,0.34242,0.33478,0.11018,0.35775,0.30385,0.23752,0.06783,1.81548,1.77533,1.22693,0.76282,0,0.000459985,0.000459985,0.000459985
57,1372.91,1.89616,2.00283,1.23766,0.99623,0,0.42629,0.35354,0.33729,0.11804,0.38032,0.33333,0.24483,0.07142,1.7586,1.80977,1.19218,0.74965,0,0.000428093,0.000428093,0.000428093
58,1396.76,1.92031,2.16218,1.21005,0.99195,0,0.43736,0.33333,0.31967,0.11094,0.38842,0.29293,0.24196,0.06577,1.74579,1.75727,1.20189,0.75396,0,0.000397097,0.000397097,0.000397097
59,1420.96,1.97286,2.08371,1.17785,1.03135,0,0.49314,0.28283,0.28755,0.10714,0.48697,0.2781,0.26857,0.07134,1.75213,1.67364,1.29184,0.74887,0,0.000367046,0.000367046,0.000367046
60,1446.94,1.85202,1.92757,1.23705,0.931,0,0.5336,0.28283,0.29386,0.10615,0.48399,0.26263,0.25328,0.07369,1.75025,1.74929,1.22417,0.75909,0,0.000337987,0.000337987,0.000337987
